id,firstname,surname,motivation,year,category
935,Oliver,Hart,"""for their contributions to contract theory""",2016,economics
936,Bengt,Holmström,"""for their contributions to contract theory""",2016,economics
937,Bob,Dylan,"""for having created new poetic expressions within the great American song tradition""",2016,literature
934,Juan Manuel,Santos,"""for his resolute efforts to bring the country's more than 50-year-long civil war to an end""",2016,peace
928,David J.,Thouless,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",2016,physics
929,F. Duncan M.,Haldane,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",2016,physics
930,J. Michael,Kosterlitz,"""for theoretical discoveries of topological phase transitions and topological phases of matter""",2016,physics
927,Yoshinori,Ohsumi,"""for his discoveries of mechanisms for autophagy""",2016,medicine
921,Tomas,Lindahl,"""for mechanistic studies of DNA repair""",2015,chemistry
922,Paul,Modrich,"""for mechanistic studies of DNA repair""",2015,chemistry
923,Aziz,Sancar,"""for mechanistic studies of DNA repair""",2015,chemistry
926,Angus,Deaton,"""for his analysis of consumption, poverty, and welfare""",2015,economics
924,Svetlana,Alexievich,"""for her polyphonic writings, a monument to suffering and courage in our time""",2015,literature
925,National Dialogue Quartet ,,"""for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011""",2015,peace
919,Takaaki,Kajita,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass""",2015,physics
920,Arthur B.,McDonald,"""for the discovery of neutrino oscillations, which shows that neutrinos have mass""",2015,physics
916,William C.,Campbell,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",2015,medicine
917,Satoshi,Ōmura,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",2015,medicine
918,Youyou,Tu,"""for her discoveries concerning a novel therapy against Malaria""",2015,medicine
909,Eric,Betzig,"""for the development of super-resolved fluorescence microscopy""",2014,chemistry
910,Stefan W.,Hell,"""for the development of super-resolved fluorescence microscopy""",2014,chemistry
911,William E.,Moerner,"""for the development of super-resolved fluorescence microscopy""",2014,chemistry
915,Jean,Tirole,"""for his analysis of market power and regulation""",2014,economics
912,Patrick,Modiano,"""for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation""",2014,literature
913,Kailash,Satyarthi,"""for their struggle against the suppression of children and young people and for the right of all children to education""",2014,peace
914,Malala,Yousafzai,"""for their struggle against the suppression of children and young people and for the right of all children to education""",2014,peace
906,Isamu,Akasaki,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",2014,physics
907,Hiroshi,Amano,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",2014,physics
908,Shuji,Nakamura,"""for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources""",2014,physics
903,John,O'Keefe,"""for their discoveries of cells that constitute a positioning system in the brain""",2014,medicine
904,May-Britt,Moser,"""for their discoveries of cells that constitute a positioning system in the brain""",2014,medicine
905,Edvard I.,Moser,"""for their discoveries of cells that constitute a positioning system in the brain""",2014,medicine
889,Martin,Karplus,"""for the development of multiscale models for complex chemical systems""",2013,chemistry
890,Michael,Levitt,"""for the development of multiscale models for complex chemical systems""",2013,chemistry
891,Arieh,Warshel,"""for the development of multiscale models for complex chemical systems""",2013,chemistry
894,Eugene F.,Fama,"""for their empirical analysis of asset prices""",2013,economics
895,Lars Peter,Hansen,"""for their empirical analysis of asset prices""",2013,economics
896,Robert J.,Shiller,"""for their empirical analysis of asset prices""",2013,economics
892,Alice,Munro,"""master of the contemporary short story""",2013,literature
893,Organisation for the Prohibition of Chemical Weapons,,"""for its extensive efforts to eliminate chemical weapons""",2013,peace
887,François,Englert,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",2013,physics
888,Peter,Higgs,"""for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN's Large Hadron Collider""",2013,physics
884,James E.,Rothman,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",2013,medicine
885,Randy W.,Schekman,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",2013,medicine
886,Thomas C.,Südhof,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",2013,medicine
878,Robert J.,Lefkowitz,"""for studies of G-protein-coupled receptors""",2012,chemistry
879,Brian,Kobilka,"""for studies of G-protein-coupled receptors""",2012,chemistry
882,Alvin E.,Roth,"""for the theory of stable allocations and the practice of market design""",2012,economics
883,Lloyd S.,Shapley,"""for the theory of stable allocations and the practice of market design""",2012,economics
880,Mo,Yan,"""who with hallucinatory realism merges folk tales, history and the contemporary""",2012,literature
881,European Union (EU),,"""for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe""",2012,peace
876,Serge,Haroche,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",2012,physics
877,David J.,Wineland,"""for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems""",2012,physics
874,Sir John B.,Gurdon,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",2012,medicine
875,Shinya,Yamanaka,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",2012,medicine
867,Dan,Shechtman,"""for the discovery of quasicrystals""",2011,chemistry
872,Thomas J.,Sargent,"""for their empirical research on cause and effect in the macroeconomy""",2011,economics
873,Christopher A.,Sims,"""for their empirical research on cause and effect in the macroeconomy""",2011,economics
868,Tomas,Tranströmer,"""because, through his condensed, translucent images, he gives us fresh access to reality""",2011,literature
869,Ellen,Johnson Sirleaf,"""for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work""",2011,peace
870,Leymah,Gbowee,"""for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work""",2011,peace
871,Tawakkol,Karman,"""for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work""",2011,peace
864,Saul,Perlmutter,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",2011,physics
865,Brian P.,Schmidt,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",2011,physics
866,Adam G.,Riess,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",2011,physics
861,Bruce A.,Beutler,"""for their discoveries concerning the activation of innate immunity""",2011,medicine
862,Jules A.,Hoffmann,"""for their discoveries concerning the activation of innate immunity""",2011,medicine
863,Ralph M.,Steinman,"""for his discovery of the dendritic cell and its role in adaptive immunity""",2011,medicine
851,Richard F.,Heck,"""for palladium-catalyzed cross couplings in organic synthesis""",2010,chemistry
852,Ei-ichi,Negishi,"""for palladium-catalyzed cross couplings in organic synthesis""",2010,chemistry
853,Akira,Suzuki,"""for palladium-catalyzed cross couplings in organic synthesis""",2010,chemistry
856,Peter A.,Diamond,"""for their analysis of markets with search frictions""",2010,economics
857,Dale T.,Mortensen,"""for their analysis of markets with search frictions""",2010,economics
858,Christopher A.,Pissarides,"""for their analysis of markets with search frictions""",2010,economics
854,Mario,Vargas Llosa,"""for his cartography of structures of power and his trenchant images of the individual's resistance, revolt, and defeat""",2010,literature
855,Xiaobo,Liu,"""for his long and non-violent struggle for fundamental human rights in China""",2010,peace
849,Andre,Geim,"""for groundbreaking experiments regarding the two-dimensional material graphene""",2010,physics
850,Konstantin,Novoselov,"""for groundbreaking experiments regarding the two-dimensional material graphene""",2010,physics
848,Robert G.,Edwards,"""for the development of in vitro fertilization""",2010,medicine
841,Venkatraman,Ramakrishnan,"""for studies of the structure and function of the ribosome""",2009,chemistry
842,Thomas A.,Steitz,"""for studies of the structure and function of the ribosome""",2009,chemistry
843,Ada E.,Yonath,"""for studies of the structure and function of the ribosome""",2009,chemistry
846,Elinor,Ostrom,"""for her analysis of economic governance, especially the commons""",2009,economics
847,Oliver E.,Williamson,"""for his analysis of economic governance, especially the boundaries of the firm""",2009,economics
844,Herta,Müller,"""who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed""",2009,literature
845,Barack,Obama,"""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples""",2009,peace
838,Charles K.,Kao,"""for groundbreaking achievements concerning the transmission of light in fibers for optical communication""",2009,physics
839,Willard S.,Boyle,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",2009,physics
840,George E.,Smith,"""for the invention of an imaging semiconductor circuit - the CCD sensor""",2009,physics
835,Elizabeth H.,Blackburn,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",2009,medicine
836,Carol W.,Greider,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",2009,medicine
837,Jack W.,Szostak,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",2009,medicine
829,Osamu,Shimomura,"""for the discovery and development of the green fluorescent protein, GFP""",2008,chemistry
830,Martin,Chalfie,"""for the discovery and development of the green fluorescent protein, GFP""",2008,chemistry
831,Roger Y.,Tsien,"""for the discovery and development of the green fluorescent protein, GFP""",2008,chemistry
834,Paul,Krugman,"""for his analysis of trade patterns and location of economic activity""",2008,economics
832,Jean-Marie Gustave,Le Clézio,"""author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization""",2008,literature
833,Martti,Ahtisaari,"""for his important efforts, on several continents and over more than three decades, to resolve international conflicts""",2008,peace
826,Yoichiro,Nambu,"""for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics""",2008,physics
827,Makoto,Kobayashi,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",2008,physics
828,Toshihide,Maskawa,"""for the discovery of the origin of the broken symmetry which predicts the existence of at least three families of quarks in nature""",2008,physics
823,Harald,zur Hausen,"""for his discovery of human papilloma viruses causing cervical cancer""",2008,medicine
824,Françoise,Barré-Sinoussi,"""for their discovery of human immunodeficiency virus""",2008,medicine
825,Luc,Montagnier,"""for their discovery of human immunodeficiency virus""",2008,medicine
816,Gerhard,Ertl,"""for his studies of chemical processes on solid surfaces""",2007,chemistry
820,Leonid,Hurwicz,"""for having laid the foundations of mechanism design theory""",2007,economics
821,Eric S.,Maskin,"""for having laid the foundations of mechanism design theory""",2007,economics
822,Roger B.,Myerson,"""for having laid the foundations of mechanism design theory""",2007,economics
817,Doris,Lessing,"""that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny""",2007,literature
818,Intergovernmental Panel on Climate Change,,"""for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change""",2007,peace
819,Al,Gore,"""for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change""",2007,peace
814,Albert,Fert,"""for the discovery of Giant Magnetoresistance""",2007,physics
815,Peter,Grünberg,"""for the discovery of Giant Magnetoresistance""",2007,physics
811,Mario R.,Capecchi,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",2007,medicine
812,Sir Martin J.,Evans,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",2007,medicine
813,Oliver,Smithies,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",2007,medicine
806,Roger D.,Kornberg,"""for his studies of the molecular basis of eukaryotic transcription""",2006,chemistry
807,Edmund S.,Phelps,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",2006,economics
808,Orhan,Pamuk,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""",2006,literature
809,Muhammad,Yunus,"""for their efforts to create economic and social development from below""",2006,peace
810,Grameen Bank,,"""for their efforts to create economic and social development from below""",2006,peace
804,John C.,Mather,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",2006,physics
805,George F.,Smoot,"""for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation""",2006,physics
802,Andrew Z.,Fire,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",2006,medicine
803,Craig C.,Mello,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",2006,medicine
794,Yves,Chauvin,"""for the development of the metathesis method in organic synthesis""",2005,chemistry
795,Robert H.,Grubbs,"""for the development of the metathesis method in organic synthesis""",2005,chemistry
796,Richard R.,Schrock,"""for the development of the metathesis method in organic synthesis""",2005,chemistry
799,Robert J.,Aumann,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",2005,economics
800,Thomas C.,Schelling,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",2005,economics
801,Harold,Pinter,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""",2005,literature
797,International Atomic Energy Agency,,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",2005,peace
798,Mohamed,ElBaradei,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",2005,peace
791,Roy J.,Glauber,"""for his contribution to the quantum theory of optical coherence""",2005,physics
792,John L.,Hall,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",2005,physics
793,Theodor W.,Hänsch,"""for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique""",2005,physics
789,Barry J.,Marshall,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",2005,medicine
790,J. Robin,Warren,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",2005,medicine
779,Aaron,Ciechanover,"""for the discovery of ubiquitin-mediated protein degradation""",2004,chemistry
780,Avram,Hershko,"""for the discovery of ubiquitin-mediated protein degradation""",2004,chemistry
781,Irwin,Rose,"""for the discovery of ubiquitin-mediated protein degradation""",2004,chemistry
786,Finn E.,Kydland,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",2004,economics
787,Edward C.,Prescott,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",2004,economics
782,Elfriede,Jelinek,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power""",2004,literature
783,Wangari,Maathai,"""for her contribution to sustainable development, democracy and peace""",2004,peace
776,David J.,Gross,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",2004,physics
777,H. David,Politzer,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",2004,physics
778,Frank,Wilczek,"""for the discovery of asymptotic freedom in the theory of the strong interaction""",2004,physics
774,Richard,Axel,"""for their discoveries of odorant receptors and the organization of the olfactory system""",2004,medicine
775,Linda B.,Buck,"""for their discoveries of odorant receptors and the organization of the olfactory system""",2004,medicine
769,Peter,Agre,"""for the discovery of water channels""",2003,chemistry
770,Roderick,MacKinnon,"""for structural and mechanistic studies of ion channels""",2003,chemistry
771,Robert F.,Engle III,"""for methods of analyzing economic time series with time-varying volatility (ARCH)""",2003,economics
772,Clive W.J.,Granger,"""for methods of analyzing economic time series with common trends (cointegration)""",2003,economics
763,J. M.,Coetzee,"""who in innumerable guises portrays the surprising involvement of the outsider""",2003,literature
773,Shirin,Ebadi,"""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""",2003,peace
766,Alexei,Abrikosov,"""for pioneering contributions to the theory of superconductors and superfluids""",2003,physics
767,Vitaly L.,Ginzburg,"""for pioneering contributions to the theory of superconductors and superfluids""",2003,physics
768,Anthony J.,Leggett,"""for pioneering contributions to the theory of superconductors and superfluids""",2003,physics
764,Paul C.,Lauterbur,"""for their discoveries concerning magnetic resonance imaging""",2003,medicine
765,Sir Peter,Mansfield,"""for their discoveries concerning magnetic resonance imaging""",2003,medicine
756,John B.,Fenn,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",2002,chemistry
757,Koichi,Tanaka,"""for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules""",2002,chemistry
758,Kurt,Wüthrich,"""for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution""",2002,chemistry
759,Daniel,Kahneman,"""for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty""",2002,economics
760,Vernon L.,Smith,"""for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms""",2002,economics
761,Imre,Kertész,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""",2002,literature
762,Jimmy,Carter,"""for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development""",2002,peace
753,Raymond,Davis Jr.,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos""",2002,physics
754,Masatoshi,Koshiba,"""for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos""",2002,physics
755,Riccardo,Giacconi,"""for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources""",2002,physics
750,Sydney,Brenner,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",2002,medicine
751,H. Robert,Horvitz,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",2002,medicine
752,John E.,Sulston,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",2002,medicine
741,William,Knowles,"""for their work on chirally catalysed hydrogenation reactions""",2001,chemistry
742,Ryoji,Noyori,"""for their work on chirally catalysed hydrogenation reactions""",2001,chemistry
743,Barry,Sharpless,"""for his work on chirally catalysed oxidation reactions""",2001,chemistry
744,George A.,Akerlof,"""for their analyses of markets with asymmetric information""",2001,economics
745,A. Michael,Spence,"""for their analyses of markets with asymmetric information""",2001,economics
746,Joseph E.,Stiglitz,"""for their analyses of markets with asymmetric information""",2001,economics
747,V. S.,Naipaul,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories""",2001,literature
748,United Nations,,"""for their work for a better organized and more peaceful world""",2001,peace
749,Kofi,Annan,"""for their work for a better organized and more peaceful world""",2001,peace
738,Eric,Cornell,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",2001,physics
739,Wolfgang,Ketterle,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",2001,physics
740,Carl,Wieman,"""for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates""",2001,physics
737,Sir Paul,Nurse,"""for their discoveries of key regulators of the cell cycle""",2001,medicine
735,Leland,Hartwell,"""for their discoveries of key regulators of the cell cycle""",2001,medicine
736,Tim,Hunt,"""for their discoveries of key regulators of the cell cycle""",2001,medicine
729,Alan,Heeger,"""for the discovery and development of conductive polymers""",2000,chemistry
730,Alan,MacDiarmid,"""for the discovery and development of conductive polymers""",2000,chemistry
731,Hideki,Shirakawa,"""for the discovery and development of conductive polymers""",2000,chemistry
732,James J.,Heckman,"""for his development of theory and methods for analyzing selective samples""",2000,economics
733,Daniel L.,McFadden,"""for his development of theory and methods for analyzing discrete choice""",2000,economics
734,Xingjian,Gao,"""for an &aelig;uvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama""",2000,literature
725,Kim,Dae-jung,"""for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular""",2000,peace
726,Zhores,Alferov,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",2000,physics
727,Herbert,Kroemer,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",2000,physics
728,Jack,Kilby,"""for his part in the invention of the integrated circuit""",2000,physics
722,Arvid,Carlsson,"""for their discoveries concerning signal transduction in the nervous system""",2000,medicine
723,Paul,Greengard,"""for their discoveries concerning signal transduction in the nervous system""",2000,medicine
724,Eric,Kandel,"""for their discoveries concerning signal transduction in the nervous system""",2000,medicine
292,Ahmed,Zewail,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy""",1999,chemistry
720,Robert,Mundell,"""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas""",1999,economics
676,Günter,Grass,"""whose frolicsome black fables portray the forgotten face of history""",1999,literature
568,Médecins Sans Frontières,,"""in recognition of the organisation's pioneering humanitarian work on several continents""",1999,peace
158,Gerardus,'t Hooft,"""for elucidating the quantum structure of electroweak interactions in physics""",1999,physics
159,Martinus J.G.,Veltman,"""for elucidating the quantum structure of electroweak interactions in physics""",1999,physics
461,Günter,Blobel,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",1999,medicine
290,Walter,Kohn,"""for his development of the density-functional theory""",1998,chemistry
291,John,Pople,"""for his development of computational methods in quantum chemistry""",1998,chemistry
719,Amartya,Sen,"""for his contributions to welfare economics""",1998,economics
675,José,Saramago,"""who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality""",1998,literature
566,John,Hume,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",1998,peace
567,David,Trimble,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",1998,peace
155,Robert B.,Laughlin,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",1998,physics
156,Horst L.,Störmer,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",1998,physics
157,Daniel C.,Tsui,"""for their discovery of a new form of quantum fluid with fractionally charged excitations""",1998,physics
458,Robert F.,Furchgott,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",1998,medicine
459,Louis J.,Ignarro,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",1998,medicine
460,Ferid,Murad,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",1998,medicine
287,Paul D.,Boyer,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",1997,chemistry
288,John E.,Walker,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",1997,chemistry
289,Jens C.,Skou,"""for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase""",1997,chemistry
717,Robert C.,Merton,"""for a new method to determine the value of derivatives""",1997,economics
718,Myron,Scholes,"""for a new method to determine the value of derivatives""",1997,economics
674,Dario,Fo,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""",1997,literature
564,International Campaign to Ban Landmines,,"""for their efforts to ban and remove anti-personnel landmines""",1997,peace
565,Jody,Williams,"""for their work for the banning and clearing of anti-personnel mines""",1997,peace
152,Steven,Chu,"""for development of methods to cool and trap atoms with laser light""",1997,physics
153,Claude,Cohen-Tannoudji,"""for development of methods to cool and trap atoms with laser light""",1997,physics
154,William D.,Phillips,"""for development of methods to cool and trap atoms with laser light""",1997,physics
457,Stanley B.,Prusiner,"""for his discovery of Prions - a new biological principle of infection""",1997,medicine
